Filename,Title,Deconstruction Words,Total Words,Coverage %,Pages
1.national-waste-and-resource-recovery-report-2024.pdf,National waste and resource recovery report 2024,313,32113,0.97,104
19.Circular Economy Resource Recovery Report 2021-22.pdf,Circular Economy Resource Recovery Report 2021-22 Summary of Findings,207,9652,2.14,32
21.Waste-Feasibility-Study_roadmap.pdf,ACT Waste Feasibility Study,235,14702,1.6,36
"23.The Current State and Digital Evolution of the Demolition Industry in NSW and QLD, Australia.pdf","The Current State and Digital Evolution...and QLD, Australia - Onshift Education",971,,0,48
"26.uilt environment sector 'primed to take on circularity,' report finds.pdf","Built environment sector â•Ÿprimed to tak...larity,â•Ž report finds _ ArchitectureAu",176,,0,4
27.Engineering-for-Australias-Circular-Economy-White-Paper-Download.pdf,251121 Engineering for Australia's Circular Economy,4321,14914,28.97,38
28.Development of the circular economy design guidelines for the Australian built environment sector.pdf,Development of the Circular Economy Design Guidelines for the Australian Built Environment Sector,238,7494,3.18,26
29.Construction and Demolition Waste Guide Recycling and Re-use Across the Supply Chain.pdf,CONSTRUCTION AND DEMOLITION WASTE GUIDE - RECYCLING AND RE-USE ACROSS THE SUPPLY CHAIN,708,16345,4.33,58
"30.Australia Construction Demolition Waste Recycling Market Size, Share, Price, Growth, Forecast 2025-2033.pdf",Australia Construction Demolition Waste Recycling Market Size 2034,354,,0,17
38.AHURI-Final-Report-402-Building-materials-in-a-circular-economy.pdf,Building materials in a circular economy,3442,49258,6.99,106
41.Circular Economy Guidance for the Irish Construction Sector (For peer review) (5.9.2023).pdf,CIRCULAR ECONOMY GUIDANCE FOR THE IRISH CONSTRUCTION SECTOR,5767,21429,26.91,83
40.CIOB Response to DECC Circular Economy Consultation.pdf,40.CIOB Response to DECC Circular Economy Consultation.pdf,613,2656,23.08,5
42.feasibility-of-deconstruction.pdf,42.feasibility-of-deconstruction.pdf,520,35794,1.45,93
44.The_Transition_to_a_Circular_Built_Environment_in_.pdf,The Transition to a Circular Built Environment in Australia: An Analysis of the Jurisdictional Policy Framework,638,2799,22.79,14
47.gbca-a-practical-guide-to-circular-procurement.pdf,12612485-GBCACEProc-Guide_Draft_01a.pptx,3571,17520,20.38,50
48.What-Works-3-For-circular-design-in-the-built-environment.pdf,What Works For Circular Design in the Built Environment,2309,11313,20.41,31
49.RV_Circular-Economy-Market-Report-2025_2.pdf,49.RV_Circular-Economy-Market-Report-2025_2.pdf,267,26581,1,72
50.Australia’s circular economy Unlocking the oppertunities Inquiry report.pdf,Australia’s circular economy: unlocking the opportunities,1680,73201,2.3,166
52.Circular-Economy-Markets-Australia- ARUP.pdf,Circular Economy Markets Australia FINAL,3530,16889,20.9,47
55.australias-circular-economy-framework-2024.pdf,Australia’s Circular Economy Framework,888,16083,5.52,40
61.Building materials in a circular economy.pdf,Building materials in a circular economy,3552,49258,7.21,106
"62.Integrating the circular economy into construction waste management in NSW, Australia.pdf","Integrating the circular economy into construction waste management in NSW, Australia",4492,25042,17.94,87
63.Building A Circular Economy.pdf,Reducing Waste in the Built Environment _ WSP,630,,0,7
70.The Reuse Playbook - Circular Buildings design.pdf,Circular Buildings Toolkit,930,,0,69
71.The Reuse Playbook - Circular Buildings Toolkit.pdf,The Reuse Playbook,10267,27486,37.35,53
68.ACT-Circular-Economy-Strategy-access.pdf,ACT Circular Economy Strategy and Action Plan 2023-2030,700,8782,7.97,23
72.Circular-Precincts-Australia-1.pdf,Circular Precincts Australia,731,7581,9.64,27
73.Building better a circular future for the built environment.pdf,Building better_ a circular future for the built environment,224,,0,6
75.Case-Study-1-1-ATCO-SL.pdf,Report Title (28 pt Arial narrow bold),431,18129,2.38,48
85.The Transition to a Circular Built Environment in Australia An Analysis of the Jurisdictional Policy Framework.pdf,The Transition to a Circular Built Environment in Australia: An Analysis of the Jurisdictional Policy Framework,832,2761,30.13,14
87.The Circular Economy in the Australian Built Environment The State of Play and a Research Agenda.pdf,The Circular Economy in the Australian Built Environment: The State of Play and a Research Agenda,3552,16515,21.51,56
88.Building a more circular Australia.pdf,Building a more circular Australia: The opportunity of transitioning to a circular economy,1294,8223,15.74,33
91.A case study of construction and demolition waste management process flow in mega infrastructure projects in Australia.pdf,Open Access proceedings Journal of Physics: Conference series,675,6144,10.99,12
92.Transformation towards a circular economy in the Australian construction and demolition waste management system.pdf,Transformation towards a circular economy in the Australian construction and demolition waste management system,2109,15135,13.93,58
31.Are Australian Construction and Demolition Waste Management Research Efforts Coherent with Policy Targets.pdf,Global Net Zero Carbon Practices in Construction,2259,7662,29.48,19